SKU,Product Name,UOM,Price,Stock
COKE-24,Coca-Cola 300ml (24-pack),box,120,50
FANTA-24,Fanta Orange 300ml (24-pack),box,110,40
SPRITE-24,Sprite 300ml (24-pack),box,110,35
MAZOE-2L,Mazoe Orange Crush 2L,each,45,60
SUGAR-50,Sugar 50kg bag,bag,650,20
MEALIE-25,Mealie Meal 25kg (Breakfast),bag,180,30
COOKOIL-5L,Cooking Oil 5L,each,210,25
SOAP-BLU,Blue Soap Bar (72s carton),carton,340,15
SALT-1KG,Salt 1kg (12-pack),pack,48,40
CANDLE-BX,Candles Box (20 pcs),box,35,50
NAILS-5KG,Assorted Nails 5kg,bag,95,18
BATT-AA,AA Batteries 4-pack (24-unit carton),carton,150,22
