Invoice No,Customer,Phone,Amount,Date
INV-1001,ABC Traders,0977111111,5000,2026-09-01
INV-1002,Kunda Wholesalers,0966222222,8000,2026-09-02
INV-1003,Chanda Enterprises,0955333333,3500,2026-09-02
INV-1004,Mwansa Stores,0977444444,12000,2026-09-03
INV-1005,Phiri General Dealers,0966555555,5000,2026-09-03
INV-1006,Bwalya Cosmetics,0955666666,2750,2026-09-04
INV-1007,ABC Traders,0977111111,4000,2026-09-05
INV-1008,Kunda Wholesalers,0966222222,6200,2026-09-06
INV-1009,Chanda Enterprises,0955333333,1800,2026-09-02
INV-1010,Mwansa Stores,0977444444,9500,2026-09-08
INV-1011,Kunda Wholesalers,0966222222,3000,2026-09-06
INV-1012,Bwalya Cosmetics,0955666666,1250,2026-09-05
INV-1013,Ndhlovu Retailers,0977888888,1000,2026-09-05
INV-1013,Ndhlovu Retailers,0977888888,2200,2026-09-07
